# AnimeGo develop@c7475dfc55a374cd0dd08821bf17125dab1e3145
# upstream_file|upstream_types|disposition|targets|reason
internal/exceptions/renamer.go|ErrRename,ErrRenameStep|replaced|src/AnimeGoNet.Data/Library/MediaOrganizationRecords.cs;src/AnimeGoNet.App/Library/MediaOrganizationProcessor.cs|Per-file step and safe failure code are durable and retryable.
internal/exceptions/request.go|ErrRequest|replaced|src/AnimeGoNet.App/Metadata/MetadataRetryExecutor.cs;src/AnimeGoNet.App/Feeds/RssFeedReader.cs|HTTP boundaries classify safe retryable failures without leaking URLs or credentials.
internal/exceptions/schedule.go|ErrSchedule,ErrScheduleAdd,ErrSchedulePluginGetVar,ErrScheduleRun|replaced|src/AnimeGoNet.Core/Scheduling/SixFieldCronExpression.cs;src/AnimeGoNet.App/Scheduling/PluginScheduleCoordinator.cs|Cron validation and run outcomes are separate stable contracts.
internal/models/anime.go|AnimeEntity,AnimeEpEntity,AnimeEpType,AnimeTorrent|replaced|src/AnimeGoNet.Core/Metadata/TmdbContracts.cs;src/AnimeGoNet.Core/Metadata/TorrentEpisodeCandidateParser.cs;src/AnimeGoNet.Data/Metadata/MetadataResolutionRecords.cs;src/AnimeGoNet.Data/Library/AnimeLibraryRecords.cs|Source evidence TMDB authority and per-file Episode identity are intentionally separate.
internal/models/anisource.go|MikanEntity|replaced|src/AnimeGoNet.Core/Feeds/MikanBangumiDiscovery.cs;src/AnimeGoNet.Data/Feeds/MikanRssBatchRecords.cs|mikanid and bgmid retain distinct provenance and discovery state.
internal/models/client.go|AddOptions,ClientOptions,Config,DeleteOptions,ListOptions,TorrentItem|replaced|src/AnimeGoNet.Core/Downloads/DownloadClientContracts.cs;src/AnimeGoNet.App/Downloads/QbittorrentContracts.cs|Credentials stay configuration-only; commands and snapshots are immutable DTOs.
internal/models/database.go|AnimeDBEntity,AnimeDir,BaseDBEntity,EpisodeDBEntity,SeasonDBEntity,StateDB|replaced|src/AnimeGoNet.Data/Library/DirectoryDatabaseRecords.cs;src/AnimeGoNet.Data/Library/AnimeLibraryRecords.cs|Legacy JSON shape is retained only at the sidecar adapter and indexed into normalized records.
internal/models/downloader.go|ClientEvent,ItemState|replaced|src/AnimeGoNet.Core/Downloads/DownloadClientContracts.cs;src/AnimeGoNet.Data/Downloads/DownloadJobRecords.cs|qB hashes snapshots and observable events have explicit types.
internal/models/feed.go|FeedItem|replaced|src/AnimeGoNet.Core/Feeds/RssFeedContracts.cs;src/AnimeGoNet.Core/Ingest/IngestContracts.cs|Private URLs are normalized then fingerprinted before persistence.
internal/models/manager.go|DownloadStatus|replaced|src/AnimeGoNet.Data/Downloads/DownloadJobRecords.cs;src/AnimeGoNet.Core/Downloads/DownloadSeedingLifecycle.cs|Download organization and seeding progress are durable independent states.
internal/models/option.go|AnimeParseOptions,AnimeParseOverride,Callback,DatabaseOptions,DownloaderOptions,FilterOptions,NotifierOptions,ParseOptions,ParserOptions,RenamerOptions,ScheduleOptions|replaced|src/AnimeGoNet.Core/Configuration/AnimeGoOptions.cs;src/AnimeGoNet.Core/Ingest/IngestContracts.cs;src/AnimeGoNet.Data/Mikan/MikanWorkMetadataRule.cs|Callbacks and wait groups are orchestration details; user choices are validated immutable options/rules.
internal/models/parser.go|TitleParsed|preserved|src/AnimeGoNet.Core/Metadata/AutoBangumiRawParser.cs|The raw-parser field contract is golden-fixture compatible.
internal/models/plugin.go|Plugin|replaced|src/AnimeGo.Plugin.Abstractions/PluginContracts.cs;src/AnimeGoNet.App/Plugins/ExternalPluginManifest.cs|C# manifests and typed args/vars replace Python file loading.
internal/models/renamer.go|CompleteCallback,RenameAllResult,RenameCallback,RenameOptions,RenameResult,RenameTask,RenameTaskGroup|replaced|src/AnimeGoNet.Core/Library/MediaPathPlanner.cs;src/AnimeGoNet.Data/Library/MediaOrganizationRecords.cs|Callbacks/channels become transactional per-file plans jobs and events.
internal/models/type.go|Object|excluded|src/AnimeGo.Plugin.Abstractions/PluginContracts.cs|Reflection-oriented map[string]any is forbidden at NativeAOT boundaries; closed DTOs replace it.
internal/models/utils.go|-|replaced|src/AnimeGoNet.Core/Library/MediaPathPlanner.cs;src/AnimeGoNet.App/Library/TvShowNfoWriter.cs;src/AnimeGoNet.Core/Compatibility/StableHash.cs|Path NFO and hash behavior use safe platform-aware implementations; legacy MD5 asset copying is excluded.
pkg/exceptions/manager.go|ErrManager|replaced|src/AnimeGo.Plugin.Abstractions/PluginManagers.cs|Manager failures are typed plugin results and stable host errors.
pkg/exceptions/plugin.go|ErrPlugin,ErrPluginSchemaMissing,ErrPluginSchemaUnknown,ErrPluginTypeNotSupported|replaced|src/AnimeGo.Plugin.Sdk/PluginSdkContracts.cs;src/AnimeGoNet.App/Plugins/ExternalPluginManifest.cs|Manifest/schema validation is closed and AOT-safe.
pkg/exceptions/request.go|ErrRequest|replaced|src/AnimeGoNet.App/Metadata/MetadataRetryExecutor.cs|Safe retry classification replaces wrapped request prose.
pkg/exceptions/torrent.go|ErrTorrent,ErrTorrentHash,ErrTorrentLoad,ErrTorrentParse,ErrTorrentUrl|replaced|src/AnimeGoNet.Core/Torrents/TorrentMetadata.cs;src/AnimeGoNet.Core/Torrents/TorrentMagnetParser.cs|Strict bounded parsers expose stable parse-failure semantics without retaining passkeys.
pkg/exceptions/utils.go|ErrRemoveNameSuffix|replaced|src/AnimeGoNet.Core/Metadata/TmdbTitleHeuristics.cs|Four-step title cleanup is represented as deterministic candidates instead of an exception.
