# AnimeGo develop@c7475dfc55a374cd0dd08821bf17125dab1e3145
# upstream_file|disposition|targets separated by semicolon|reason
test/testdata/filter/filter.py|replaced|tests/AnimeGoNet.Core.Tests/Rules/UpstreamFilterFixtureParityTests.cs;tests/AnimeGoNet.App.Tests/Plugins/ExternalPluginAdaptersTests.cs|The NC-Raws selection result is reproduced by the compile-time parser; arbitrary extensions use the typed C# adapter.
test/testdata/filter/test_re.py|replaced|tests/AnimeGoNet.Core.Tests/Rules/UpstreamFilterFixtureParityTests.cs|The upstream inline regex fixture retains exactly the same candidate.
test/testdata/parser/155942|ported|tests/AnimeGoNet.Core.Tests/Metadata/TorrentEpisodeCandidateParserTests.cs|Pinned parser response fixture is mapped to deterministic parser cases.
test/testdata/parser/220150|ported|tests/AnimeGoNet.Core.Tests/Metadata/TorrentEpisodeCandidateParserTests.cs|Pinned parser response fixture is mapped to deterministic parser cases.
test/testdata/parser/2922|ported|tests/AnimeGoNet.Core.Tests/Metadata/TorrentEpisodeCandidateParserTests.cs|Pinned parser response fixture is mapped to deterministic parser cases.
test/testdata/parser/3015|ported|tests/AnimeGoNet.Core.Tests/Metadata/TorrentEpisodeCandidateParserTests.cs|Pinned parser response fixture is mapped to deterministic parser cases.
test/testdata/parser/366165|ported|tests/AnimeGoNet.Core.Tests/Metadata/TorrentEpisodeCandidateParserTests.cs|Pinned parser response fixture is mapped to deterministic parser cases.
test/testdata/parser/411247|ported|tests/AnimeGoNet.Core.Tests/Metadata/TorrentEpisodeCandidateParserTests.cs|Pinned parser response fixture is mapped to deterministic parser cases.
test/testdata/parser/51ecf2415af99521d07595178685587e16edd926|ported|tests/AnimeGoNet.Core.Tests/Metadata/TorrentEpisodeCandidateParserTests.cs|Pinned Mikan page fixture is covered by parser boundary cases.
test/testdata/parser/51ecf2415af99521d07595178685587e16edd926.torrent|ported|tests/AnimeGoNet.Core.Tests/Torrents/TorrentUpstreamParityTests.cs|Pinned Torrent bytes are parsed and verified directly.
test/testdata/parser/ac5d8d6fcc4d83cb18f18c209b66afd8e1edba86|ported|tests/AnimeGoNet.Core.Tests/Metadata/TorrentEpisodeCandidateParserTests.cs|Pinned Mikan page fixture is covered by parser boundary cases.
test/testdata/parser/ac5d8d6fcc4d83cb18f18c209b66afd8e1edba86.torrent|ported|tests/AnimeGoNet.Core.Tests/Torrents/TorrentUpstreamParityTests.cs|Pinned Torrent bytes are parsed and verified directly.
test/testdata/parser/err_anisource_parse|ported|tests/AnimeGoNet.Core.Tests/Metadata/TorrentEpisodeCandidateParserTests.cs|Invalid anime-source parsing remains a fail-closed C# boundary.
test/testdata/parser/ポケットモンスター|ported|tests/AnimeGoNet.Core.Tests/Metadata/TorrentEpisodeCandidateParserTests.cs|Japanese title fixture is represented by the parser golden set.
test/testdata/parser/便利屋斎藤さん、異世界に行く|ported|tests/AnimeGoNet.Core.Tests/Metadata/TorrentEpisodeCandidateParserTests.cs|Japanese title fixture is represented by the parser golden set.
test/testdata/python/Mikan.xml|removed|tests/AnimeGoNet.Core.Tests/Feeds/RssFeedUpstreamParityTests.cs;docs/PORTING_CHECKLIST.md|The XML remains covered by native C# parsing; Python execution is removed.
test/testdata/python/a6f48155e7648a945e9bf85949c6cf8d8eb7ad61|removed|tests/AnimeGoNet.App.Tests/Plugins/ExternalPluginAdaptersTests.cs;docs/PORTING_CHECKLIST.md|Python HTTP fixture is not executed; typed C# plugin inputs replace it.
test/testdata/python/config.json|removed|tests/AnimeGoNet.App.Tests/Plugins/ExternalPluginConfigurationValidatorTests.cs;docs/PORTING_CHECKLIST.md|Python configuration injection is removed in favor of typed C# plugin manifests.
test/testdata/python/config.py|removed|tests/AnimeGoNet.App.Tests/Plugins/ExternalPluginConfigurationValidatorTests.cs;docs/PORTING_CHECKLIST.md|Python configuration scripts are intentionally unsupported.
test/testdata/python/json.py|removed|tests/AnimeGoNet.App.Tests/Plugins/ExternalPluginProcessSessionTests.cs;docs/PORTING_CHECKLIST.md|Python module import behavior is outside the supported runtime.
test/testdata/python/mikan.py|removed|tests/AnimeGoNet.App.Tests/Plugins/ExternalPluginAdaptersTests.cs;docs/PORTING_CHECKLIST.md|Python Mikan helper execution is replaced by native source and feed adapters.
test/testdata/python/test.py|removed|tests/AnimeGoNet.App.Tests/Plugins/ExternalPluginProcessSessionTests.cs;docs/PORTING_CHECKLIST.md|Generic Python execution is intentionally unavailable.
test/testdata/python/test_log.py|removed|tests/AnimeGoNet.App.Tests/Plugins/ExternalPluginStderrForwarderTests.cs;docs/PORTING_CHECKLIST.md|Typed child-process stderr forwarding replaces Python log capture.
test/testdata/python/var.py|removed|tests/AnimeGoNet.App.Tests/Plugins/ExternalPluginProcessSessionTests.cs;docs/PORTING_CHECKLIST.md|Python variable injection is intentionally unsupported.
